nome;partido;uf;name_simplified
Aline Sleutjes;PSL;PR;aline sleutjes
Alê Silva;PSL;MG;ale silva
Bia Kicis;PSL;DF;bia kicis
Bibo Nunes;PSL;RS;bibo nunes
Bozzella;PSL;SP;bozzella
Carla Zambelli;PSL;SP;carla zambelli
Carlos Jordy;PSL;RJ;carlos jordy
Caroline de Toni;PSL;SC;caroline de toni
Celso Sabino;PSL;PA;celso sabino
Charlles Evangelista;PSL;MG;charlles evangelista
Chris Tonietto;PSL;RJ;chris tonietto
Coronel Armando;PSL;SC;coronel armando
Coronel Chrisóstomo;PSL;RO;coronel chrisostomo
Coronel Tadeu;PSL;SP;coronel tadeu
Daniel Freitas;PSL;SC;daniel freitas
Daniel Silveira;PSL;RJ;daniel silveira
Delegado Antônio Furtado;PSL;RJ;delegado antonio furtado
Delegado Marcelo Freitas;PSL;MG;delegado marcelo freitas
Delegado Pablo;PSL;AM;delegado pablo
Delegado Waldir;PSL;GO;delegado waldir
Dr. Luiz Ovando;PSL;MS;dr luiz ovando
Dra. Soraya Manato;PSL;ES;dra soraya manato
Eduardo Bolsonaro;PSL;SP;eduardo bolsonaro
Fabio Schiochet;PSL;SC;fabio schiochet
Felipe Francischini;PSL;PR;felipe francischini
Felipe Rigoni;PSL;ES;felipe rigoni
Felício Laterça;PSL;RJ;felicio laterca
Filipe Barros;PSL;PR;filipe barros
GURGEL;PSL;RJ;gurgel
General Girão;PSL;RN;general girao
General Peternelli;PSL;SP;general peternelli
Guiga Peixoto;PSL;SP;guiga peixoto
Heitor Freire;PSL;CE;heitor freire
Helio Lopes;PSL;RJ;helio lopes
JUNIO AMARAL;PSL;MG;junio amaral
Joice Hasselmann;PSL;SP;joice hasselmann
Julian Lemos;PSL;PB;julian lemos
Loester Trutis;PSL;MS;loester trutis
Lourival Gomes;PSL;RJ;lourival gomes
Luciano Bivar;PSL;PE;luciano bivar
Luiz Lima;PSL;RJ;luiz lima
Luiz Philippe de Orleans e Bragança;PSL;SP;luiz philippe de orleans e braganca
Léo Motta;PSL;MG;leo motta
Major Fabiana;PSL;RJ;major fabiana
Marcelo Brum;PSL;RS;marcelo brum
Marcelo Álvaro Antônio;PSL;MG;marcelo alvaro antonio
Márcio Labre;PSL;RJ;marcio labre
Nelson Barbudo;PSL;MT;nelson barbudo
Nereu Crispim;PSL;RS;nereu crispim
Nicoletti;PSL;RR;nicoletti
Professor Joziel;PSL;RJ;professor joziel
Professora Dayane Pimentel;PSL;BA;professora dayane pimentel
SANDERSON;PSL;RS;sanderson
VITOR HUGO;PSL;GO;vitor hugo
David Miranda;PSOL;RJ;david miranda
Edmilson Rodrigues;PSOL;PA;edmilson rodrigues
Fernanda Melchionna;PSOL;RS;fernanda melchionna
Glauber Braga;PSOL;RJ;glauber braga
Ivan Valente;PSOL;SP;ivan valente
Luiza Erundina;PSOL;SP;luiza erundina
Marcelo Freixo;PSOL;RJ;marcelo freixo
Sâmia Bomfim;PSOL;SP;samia bomfim
Talíria Petrone;PSOL;RJ;taliria petrone
Vivi Reis;PSOL;PA;vivi reis
Áurea Carolina;PSOL;MG;aurea carolina
AIRTON FALEIRO;PT;PA;airton faleiro
Afonso Florence;PT;BA;afonso florence
Alencar Santana Braga;PT;SP;alencar santana braga
Alexandre Padilha;PT;SP;alexandre padilha
Arlindo Chinaglia;PT;SP;arlindo chinaglia
Benedita da Silva;PT;RJ;benedita da silva
Beto Faro;PT;PA;beto faro
Bohn Gass;PT;RS;bohn gass
Carlos Veras;PT;PE;carlos veras
Carlos Zarattini;PT;SP;carlos zarattini
Célio Moura;PT;TO;celio moura
Enio Verri;PT;PR;enio verri
Erika Kokay;PT;DF;erika kokay
Frei Anastacio Ribeiro;PT;PB;frei anastacio ribeiro
Gleisi Hoffmann;PT;PR;gleisi hoffmann
Helder Salomão;PT;ES;helder salomao
Henrique Fontana;PT;RS;henrique fontana
Jorge Solla;PT;BA;jorge solla
Joseildo Ramos;PT;BA;joseildo ramos
Josias Gomes;PT;BA;josias gomes
José Airton Félix Cirilo;PT;CE;jose airton felix cirilo
José Guimarães;PT;CE;jose guimaraes
José Ricardo;PT;AM;jose ricardo
João Daniel;PT;SE;joao daniel
LEO DE BRITO;PT;AC;leo de brito
Leonardo Monteiro;PT;MG;leonardo monteiro
Luizianne Lins;PT;CE;luizianne lins
Marcon;PT;RS;marcon
Margarida Salomão;PT;MG;margarida salomao
Maria do Rosário;PT;RS;maria do rosario
Marília Arraes;PT;PE;marilia arraes
Merlong Solano;PT;PI;merlong solano
Natália Bonavides;PT;RN;natalia bonavides
Nilto Tatto;PT;SP;nilto tatto
Odair Cunha;PT;MG;odair cunha
Padre João;PT;MG;padre joao
Patrus Ananias;PT;MG;patrus ananias
